faixa_densidade,Vitória Média (%),Morte Buraco (%),Morte Monstro (%),Travado (%),Score Médio,Desvio Padrão Médio
1. Ultra-Baixa (Até 10%),97.19454545454545,1.6327272727272726,1.0072727272727273,0.16545454545454544,1064.22,284.5576363636364
2. Baixa (11% a 20%),54.50588235294118,23.91029411764706,21.255392156862747,0.3284313725490196,177.38720588235293,891.279656862745
3. Moderada (21% a 30%),11.572781065088757,45.55976331360947,42.72573964497041,0.14171597633136093,-716.7156804733728,538.0504733727811
4. Alta (31% a 40%),2.281578947368421,49.35043859649122,48.242105263157896,0.12587719298245614,-915.013201754386,220.08350877192981
5. Crítica (40%+),0.6324324324324324,47.74594594594594,51.51486486486486,0.10675675675675676,-950.0777027027027,122.74013513513515
